HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"340 Nguyễn Tri Phương, Hội An 560000 Việt Nam",29,63,,,,Autumn Bay Retreat Hoi An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Autumn Bay Retreat Hoi An có điểm du lịch nổi tiếng nào?, ,Gần Autumn Bay Retreat Hoi An có nhà hàng nào?, ",,0,,0,NA,76,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21304048-Reviews-Autumn_Bay_Retreat_Hoi_An-Hoi_An_Quang_Nam_Province.html
"To 2, Khoi Thinh My, Hội An Việt Nam",1,61,,,,Tan Thinh River Village Hoi An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Tan Thinh River Village Hoi An có điểm du lịch nổi tiếng nào?, ,Gần Tan Thinh River Village Hoi An có nhà hàng nào?, ",,0,,0,NA,42,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23219272-Reviews-Tan_Thinh_River_Village_Hoi_An-Hoi_An_Quang_Nam_Province.html
"19 Le Hong Phong, Hội An Việt Nam",2,64,,,,Primrose Boutique Villa & Apartments,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Primrose Boutique Villa & Apartments có điểm du lịch nổi tiếng nào?, ,Gần Primrose Boutique Villa & Apartments có nhà hàng nào?, ",,0,,0,NA,13,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23366559-Reviews-Primrose_Boutique_Villa_Apartments-Hoi_An_Quang_Nam_Province.html
"To 5, Khoi Phuoc Hai, Phuong Cua Dai, Hội An Việt Nam",7,85,,,,Mulan Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Mulan Homestay có điểm du lịch nổi tiếng nào?, ,Gần Mulan Homestay có nhà hàng nào?, ",,0,,0,"3,0",36,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d17656739-Reviews-Mulan_Homestay-Hoi_An_Quang_Nam_Province.html
"25/13 Duong 18/8, Cam Pho, Hoi An Quang Nam, Hội An Việt Nam",42,100,,,,Lavila Homestay Hoi An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Lavila Homestay Hoi An có điểm du lịch nổi tiếng nào?, ,Gần Lavila Homestay Hoi An có nhà hàng nào?, ",,0,,0,NA,118,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23404887-Reviews-Lavila_Homestay_Hoi_An-Hoi_An_Quang_Nam_Province.html
"11 Nguyen Binh Khiem, Hội An Việt Nam",5,72,,,,The Family Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần The Family Villa có điểm du lịch nổi tiếng nào?, ,Gần The Family Villa có nhà hàng nào?, ",,0,,0,NA,26,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d15602596-Reviews-The_Family_Villa-Hoi_An_Quang_Nam_Province.html
"36/78 Hung Vuong, Hội An Việt Nam",46,91,,,,Green Horse Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Green Horse Villa có điểm du lịch nổi tiếng nào?, ,Gần Green Horse Villa có nhà hàng nào?, ,Green Horse Villa có nằm gần trung tâm thành phố không?, ",,0,,0,NA,101,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d17668029-Reviews-Green_Horse_Villa-Hoi_An_Quang_Nam_Province.html
,0,0,,,,OZO Hoi An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An",,,0,,0,NA,0,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d12504876-Reviews-OZO_Hoi_An-Hoi_An_Quang_Nam_Province.html
"07 Thái Phiên Phường Minh An, Hội An Việt Nam",196,89,,,,Nem's House Hội An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Nem's House Hội An có điểm du lịch nổi tiếng nào?, ,Gần Nem's House Hội An có nhà hàng nào?, ,Nem's House Hội An có nằm gần trung tâm thành phố không?, ",,0,,0,NA,237,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23661196-Reviews-Nem_s_House_Hoi_An-Hoi_An_Quang_Nam_Province.html
"108 Nguyễn Phúc Tần, Hội An Việt Nam",53,100,,,,Focus Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Focus Homestay có điểm du lịch nổi tiếng nào?, ,Gần Focus Homestay có nhà hàng nào?, ",,0,,0,NA,155,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21347225-Reviews-Focus_Homestay-Hoi_An_Quang_Nam_Province.html
"To 17 An Bang , Cam An, Hoi An, Quang Nam, Hội An Việt Nam",3,79,,,,Kaka Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Kaka Villa có điểm du lịch nổi tiếng nào?, ,Gần Kaka Villa có nhà hàng nào?, ",,0,,0,NA,30,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23288179-Reviews-Kaka_Villa-Hoi_An_Quang_Nam_Province.html
"Tổ 14, Thôn Trung Châu Phường Cẩm Kim, Hội An 560000 Việt Nam",66,93,,,,Nguyễn Duy Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Nguyễn Duy Homestay có điểm du lịch nổi tiếng nào?, ,Gần Nguyễn Duy Homestay có nhà hàng nào?, ,Nguyễn Duy Homestay có nằm gần trung tâm thành phố không?, ",,0,,0,NA,118,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d20460549-Reviews-Nguyen_Duy_Homestay-Hoi_An_Quang_Nam_Province.html
Hội An Việt Nam,1,37,,,,Home Stay Bai Huong,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Home Stay Bai Huong có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,5,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d19457974-Reviews-Home_Stay_Bai_Huong-Hoi_An_Quang_Nam_Province.html
"02 Núi Thành Phường Tân An, Hội An Việt Nam",9,53,,,,Chitkemhomestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Chitkemhomestay có điểm du lịch nổi tiếng nào?, ,Gần Chitkemhomestay có nhà hàng nào?, ",,0,,0,NA,21,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23361026-Reviews-Chitkemhomestay-Hoi_An_Quang_Nam_Province.html
"57 Thích Quảng Đức, P.Tân An, Hội An Việt Nam",8,81,,,,The 1993 Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần The 1993 Homestay có điểm du lịch nổi tiếng nào?, ,Gần The 1993 Homestay có nhà hàng nào?, ",,0,,0,NA,41,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23348583-Reviews-The_1993_Homestay-Hoi_An_Quang_Nam_Province.html
"168 Ly Thai To, Hội An Việt Nam",41,92,,,,Nhu Fabric home,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Nhu Fabric home có điểm du lịch nổi tiếng nào?, ,Gần Nhu Fabric home có nhà hàng nào?, ,Nhu Fabric home có nằm gần trung tâm thành phố không?, ",,0,,0,NA,70,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d17632692-Reviews-Nhu_Fabric_home-Hoi_An_Quang_Nam_Province.html
"27 Tống Duy Tân Hoàn Kiếm, Hà Nội 100000 Việt Nam",47,100,186,Tiếng Việt,,Khách sạn Hanoi Sky,2.977.273 ₫,795.455 ₫,"795.455 ₫, - ,2.977.273 ₫","Gần Khách sạn Hanoi Sky có điểm du lịch nổi tiếng nào?, ,Khách sạn Hanoi Sky có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Hanoi Sky có những tiện nghi phòng gì?, ,Khách sạn Hanoi Sky có những lựa chọn đồ ăn & đồ uống gì?, ,Gần Khách sạn Hanoi Sky có nhà hàng nào?, ,Khách sạn Hanoi Sky có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Hanoi Sky có nằm gần trung tâm thành phố không?, ,Khách sạn Hanoi Sky có dịch vụ dọn phòng không?, ,Có di tích lịch sử nào gần Khách sạn Hanoi Sky không?, ",95,714 đánh giá,Số 159 trong 704 khách sạn tại Hà Nội,45,"3,0",248,Tuyệt vời,40,"Hiện đại,Yên tĩnh",,22,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d2304786-Reviews-Hanoi_Sky_Hotel-Hanoi.html
"4 Lê Văn Hiến, Hội An Việt Nam",6,44,,,,Dragon Hotel Hoi An,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Dragon Hotel Hoi An có điểm du lịch nổi tiếng nào?, ,Gần Dragon Hotel Hoi An có nhà hàng nào?, ",,0,,0,NA,17,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21508675-Reviews-Dragon_Hotel_Hoi_An-Hoi_An_Quang_Nam_Province.html
"Phuoc Thuan, Xuyen Moc, Hồ Tràm, Phuoc Thuan 790000 Việt Nam",0,0,1239,"Tiếng Việt, Tiếng Anh, Tiếng Trung, Tiếng Hàn",,InterContinental Grand Ho Tram,4.068.182 ₫,2.113.636 ₫,"2.113.636 ₫, - ,4.068.182 ₫","Gần InterContinental Grand Ho Tram có điểm du lịch nổi tiếng nào?, ,InterContinental Grand Ho Tram có những tiện nghi tại cơ sở kinh doanh gì?, ,InterContinental Grand Ho Tram có những tiện nghi phòng gì?, ,InterContinental Grand Ho Tram có những lựa chọn đồ ăn & đồ uống gì?, ,InterContinental Grand Ho Tram có chỗ đỗ xe không?, ,Gần InterContinental Grand Ho Tram có nhà hàng nào?, ,Tôi có thể tập thể dục tại InterContinental Grand Ho Tram không?, ,InterContinental Grand Ho Tram có dịch vụ đưa đón tại sân bay không?, ,InterContinental Grand Ho Tram có dịch vụ đưa đón tại sân bay không?, ,InterContinental Grand Ho Tram có dịch vụ dọn phòng không?, ,InterContinental Grand Ho Tram có cung cấp dịch vụ doanh nghiệp nào không?, ",255,723 đánh giá,Số 2 trong 4 khách sạn tại Hồ Tràm,40,"5,0",0,Rất tốt,541,Hiện đại,,2,https://www.tripadvisor.com.vn/Hotel_Review-g2549585-d3800222-Reviews-InterContinental_Grand_Ho_Tram-Ho_Tram_Phuoc_Thuan_Ba_Ria_Vung_Tau_Province.html
"Động Hang Múa, Thôn Khê Đầu Hạ Ninh Xuan Commune, Hoa Lu District, Ninh Bình 40000 Việt Nam",25,43,682,"Tiếng Việt, Tiếng Anh",,Nguyen Shack - Ninh Binh,1.113.636 ₫,431.818 ₫,"431.818 ₫, - ,1.113.636 ₫","Gần Nguyen Shack – Ninh Binh có điểm du lịch nổi tiếng nào?, ,Nguyen Shack – Ninh Binh có những tiện nghi tại cơ sở kinh doanh gì?, ,Nguyen Shack – Ninh Binh có những tiện nghi phòng gì?, ,Nguyen Shack – Ninh Binh có những lựa chọn đồ ăn & đồ uống gì?, ,Nguyen Shack – Ninh Binh có chỗ đỗ xe không?, ,Gần Nguyen Shack – Ninh Binh có nhà hàng nào?, ,Nguyen Shack – Ninh Binh có dịch vụ đưa đón tại sân bay không?, ,Nguyen Shack – Ninh Binh có cho phép vật nuôi không?, ,Nhân viên tại Nguyen Shack – Ninh Binh nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần Nguyen Shack – Ninh Binh không?, ,Nguyen Shack – Ninh Binh có tầm nhìn đẹp không?, ",34,718 đánh giá,Số 2 trong 15 nhà khách tại Ninh Bình,50,"2,0",215,Tuyệt vời,11,"Quyến rũ,Lãng mạn",,21,https://www.tripadvisor.com.vn/Hotel_Review-g303945-d5969885-Reviews-Nguyen_Shack_Ninh_Binh-Ninh_Binh_Ninh_Binh_Province.html
"157 Tran Nhan Tong, Hội An Việt Nam",12,81,6,"Tiếng Việt, Tiếng Anh",,Pink Buds Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Pink Buds Homestay có điểm du lịch nổi tiếng nào?, ,Pink Buds Homestay có những tiện nghi tại cơ sở kinh doanh gì?, ,Pink Buds Homestay có những lựa chọn đồ ăn & đồ uống gì?, ,Gần Pink Buds Homestay có nhà hàng nào?, ,Pink Buds Homestay có dịch vụ đưa đón tại sân bay không?, ,Pink Buds Homestay có dịch vụ đưa đón tại sân bay không?, ,Nhân viên tại Pink Buds Homestay nói ngôn ngữ gì?, ",5,9 đánh giá,Xếp thứ 58 trong 87 nhà nghỉ tại Hội An,50,"2,0",60,Tuyệt vời,Hội An,Bình dân,,5,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d9803604-Reviews-Pink_Buds_Homestay-Hoi_An_Quang_Nam_Province.html
"382 Cua Dai Street, Hội An 20035 Việt Nam",12,73,369,"Tiếng Việt, Tiếng Anh, Tiếng Pháp, Tiếng Đức",,The Hoi An Orchid Garden Villas,954.545 ₫,636.364 ₫,"636.364 ₫, - ,954.545 ₫","Gần The Hoi An Orchid Garden Villas có điểm du lịch nổi tiếng nào?, ,The Hoi An Orchid Garden Villas có những tiện nghi tại cơ sở kinh doanh gì?, ,The Hoi An Orchid Garden Villas có những lựa chọn đồ ăn & đồ uống gì?, ,The Hoi An Orchid Garden Villas có chỗ đỗ xe không?, ,Gần The Hoi An Orchid Garden Villas có nhà hàng nào?, ,Tôi có thể tập thể dục tại The Hoi An Orchid Garden Villas không?, ,The Hoi An Orchid Garden Villas có dịch vụ đưa đón tại sân bay không?, ,The Hoi An Orchid Garden Villas có dịch vụ dọn phòng không?, ,Nhân viên tại The Hoi An Orchid Garden Villas nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần The Hoi An Orchid Garden Villas không?, ",6,724 đánh giá,Số 67 trong 269 khách sạn tại Hội An,45,"3,0",50,Tuyệt vời,9,"Cổ kính,Quyến rũ",,195,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d1462903-Reviews-The_Hoi_An_Orchid_Garden_Villas-Hoi_An_Quang_Nam_Province.html
"44-46 Lê Thánh Tôn Phường Lộc Thọ, Nha Trang 650000 Việt Nam",21,96,824,"Tiếng Việt, Tiếng Anh",,Vinpearl Condotel Empire Nha Trang,2.886.364 ₫,1.340.909 ₫,"1.340.909 ₫, - ,2.886.364 ₫","Gần Vinpearl Condotel Empire Nha Trang có điểm du lịch nổi tiếng nào?, ,Vinpearl Condotel Empire Nha Trang có những tiện nghi tại cơ sở kinh doanh gì?, ,Vinpearl Condotel Empire Nha Trang có những tiện nghi phòng gì?, ,Vinpearl Condotel Empire Nha Trang có những lựa chọn đồ ăn & đồ uống gì?, ,Vinpearl Condotel Empire Nha Trang có chỗ đỗ xe không?, ,Gần Vinpearl Condotel Empire Nha Trang có nhà hàng nào?, ,Tôi có thể tập thể dục tại Vinpearl Condotel Empire Nha Trang không?, ,Vinpearl Condotel Empire Nha Trang có nằm gần trung tâm thành phố không?, ,Vinpearl Condotel Empire Nha Trang có dịch vụ dọn phòng không?, ,Vinpearl Condotel Empire Nha Trang có cung cấp dịch vụ doanh nghiệp nào không?, ,Nhân viên tại Vinpearl Condotel Empire Nha Trang nói ngôn ngữ gì?, ",114,736 đánh giá,Số 2 trong 302 khách sạn tại Nha Trang,50,"3,5",169,Tuyệt vời,1221,"Thời thượng,Lãng mạn",,48,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d13813357-Reviews-Vinpearl_Condotel_Empire_Nha_Trang-Nha_Trang_Khanh_Hoa_Province.html
"Cẩm An, An Bàng, Hội An 560000 Việt Nam",6,83,,,,White Sail Villas,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần White Sail Villas có điểm du lịch nổi tiếng nào?, ,Gần White Sail Villas có nhà hàng nào?, ",,2 đánh giá,Số 154 trong 182 nhà khách tại Hội An,50,NA,67,Tuyệt vời,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d19055908-Reviews-White_Sail_Villas-Hoi_An_Quang_Nam_Province.html
"A5-B11 Slot No 4 Lac Long Quan Tan Thanh, Hội An Việt Nam",1,66,,Tiếng Anh,,Eden Roc An Bang Seaside Hotel,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Eden Roc An Bang Seaside Hotel có điểm du lịch nổi tiếng nào?, ,Eden Roc An Bang Seaside Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Eden Roc An Bang Seaside Hotel có những tiện nghi phòng gì?, ,Eden Roc An Bang Seaside Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,Gần Eden Roc An Bang Seaside Hotel có nhà hàng nào?, ,Tôi có thể tập thể dục tại Eden Roc An Bang Seaside Hotel không?, ",,3 đánh giá,Số 243 trong 269 khách sạn tại Hội An,45,NA,24,Tuyệt vời,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d12585148-Reviews-Eden_Roc_An_Bang_Seaside_Hotel-Hoi_An_Quang_Nam_Province.html
"160 Lý Thái Tổ, Hội An 560000 Việt Nam",6,78,,,,Hai Dao Tourist Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Hai Dao Tourist Villa có điểm du lịch nổi tiếng nào?, ,Gần Hai Dao Tourist Villa có nhà hàng nào?, ,Hai Dao Tourist Villa có nằm gần trung tâm thành phố không?, ",,0,,0,NA,38,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21090095-Reviews-Hai_Dao_Tourist_Villa-Hoi_An_Quang_Nam_Province.html
"11 Bát Đàn, Hoàn Kiếm, Hà Nội 100000 Việt Nam",159,98,121,"Tiếng Việt, Tiếng Anh",,Little Hanoi Diamond Hotel,590.909 ₫,295.455 ₫,"295.455 ₫, - ,590.909 ₫","Gần Little Hanoi Diamond Hotel có điểm du lịch nổi tiếng nào?, ,Little Hanoi Diamond Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Little Hanoi Diamond Hotel có những tiện nghi phòng gì?, ,Little Hanoi Diamond Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,Little Hanoi Diamond Hotel có chỗ đỗ xe không?, ,Gần Little Hanoi Diamond Hotel có nhà hàng nào?, ,Little Hanoi Diamond Hotel có dịch vụ đưa đón tại sân bay không?, ,Little Hanoi Diamond Hotel có nằm gần trung tâm thành phố không?, ,Nhân viên tại Little Hanoi Diamond Hotel nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần Little Hanoi Diamond Hotel không?, ",11,730 đánh giá,Số 37 trong 367 khách sạn nhỏ tại Hà Nội,45,"3,0",535,Tuyệt vời,27,"Hạng trung,Nằm ở vị trí trung tâm",,130,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d3343780-Reviews-Little_Diamond_Hotel-Hanoi.html
"To1 Tra Que, Hội An 56000 Việt Nam",6,63,8,,,La maison d'Indochine,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần La maison d'Indochine có điểm du lịch nổi tiếng nào?, ,La maison d'Indochine có những tiện nghi tại cơ sở kinh doanh gì?, ,La maison d'Indochine có những lựa chọn đồ ăn & đồ uống gì?, ,Gần La maison d'Indochine có nhà hàng nào?, ,Tôi có thể tập thể dục tại La maison d'Indochine không?, ,La maison d'Indochine có dịch vụ đưa đón tại sân bay không?, ,Có di tích lịch sử nào gần La maison d'Indochine không?, ",2,9 đánh giá,Số 116 trong 182 nhà khách tại Hội An,50,NA,17,Tuyệt vời,4,,,5,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d20268824-Reviews-La_maison_d_Indochine-Hoi_An_Quang_Nam_Province.html
